feature,importance
number_inpatient,0.334025418891772
discharge_disposition_id,0.19452347648497903
num_lab_procedures,0.07256712938923081
num_medications,0.0709330388830838
total_visits,0.0433552592695578
number_diagnoses,0.04265122058755862
time_in_hospital,0.03743917495407589
number_emergency,0.032629490806496984
num_procedures,0.0316958576709863
age,0.03145991537465747
admission_type_id,0.021985731406622498
number_outpatient,0.017911068041825396
admission_source_id,0.017277199795686562
stay_category,0.012257448436773483
race,0.011386555693981806
diabetesMed,0.007016175354375942
gender,0.0068692460719032705
medication_load,0.0064185641616781985
change,0.005743837729855859
multiple_diagnoses,0.001854190994898204
