feature,importance
num_lab_procedures,0.134613838829078
num_medications,0.10514468925922354
discharge_disposition_id,0.09490173864357294
number_inpatient,0.08669769315361106
total_visits,0.07087039314280259
time_in_hospital,0.06667206634036663
age,0.06643776807468589
num_procedures,0.05559299624536238
number_diagnoses,0.05525459935618032
admission_type_id,0.04074405699201942
admission_source_id,0.03359120195942893
race,0.03226946548924346
number_outpatient,0.025360322633544728
stay_category,0.024760867752885506
medication_load,0.02273593764648389
gender,0.022568198301776244
number_emergency,0.021991027043998374
change,0.01862897302566097
diabetesMed,0.016430179922792602
multiple_diagnoses,0.00473398618728274
