feature,importance
number_inpatient,0.19265046889690093
discharge_disposition_id,0.15424319944467257
total_visits,0.1231625020980275
num_lab_procedures,0.08222500219687115
num_medications,0.06807947531734937
time_in_hospital,0.05158132728447864
age,0.04676876774571763
number_diagnoses,0.04542426281317953
num_procedures,0.03271821698123159
number_emergency,0.031019285342439938
admission_type_id,0.02750637592960652
number_outpatient,0.024681461273530568
race,0.022601855403274782
stay_category,0.020943486279740343
admission_source_id,0.02048702719473787
medication_load,0.014582087606691281
diabetesMed,0.013817781294048861
gender,0.01206529008876546
change,0.010065525776021978
multiple_diagnoses,0.0053766010327134985
